VF-7055,Летные  проверки и системы,Корея, Республика
MR-2879,Полярные авиалинии АО,Израиль
XH-1554,Когалымавиа ООО,Австралия
RM-5280,Аэропорт Оренбург,Джерси
RF-9285,Комиавиатранс ОАО,Гибралтар
VD-6369,Ангара АК ЗАО,Китай
ZO-4140,РУССЭЙР,Виргинские острова, США
NQ-3298,ВЕКТОР АПК ООО,Американское Самоа
SK-3077,ВЗЛЕТ НПО, ЗАО,Кипр
RO-5189,Конверс Авиа,Египет
MN-4140,Арго,Австрия
KZ-1647,Авиакомпания «Лайт Эйр»,Кокосовые (Килинг) острова
VD-4424,Нордавиа-регион.АЛ,Корея, Народно-Демократическая Республика
MS-3291,БАРКОЛ,Йемен
SY-4081,Казанское авиапредприятие,Американское Самоа
VU-1736,Нижневартовскавиа,Гвинея-Бисау
SO-8264,СИМАРГЛ,Буркина-Фасо
US-2870,Амурская авиабаза,Гондурас
RG-2824,Костромское АП ОАО,Индия
BL-3194,Таймыр ОАО,Коморы
SM-8295,ПАНХ АК ООО (Улан-Удэ),Босния и Герцеговина
FN-8500,РусЛайн,Катар
MT-8513,Северо-Запад,Испания
OK-2890,АэроГео,Исландия
GS-9062,Авиалифт Владивосток,Гвинея
QR-3105,ДОНАВИА,Гернси
NF-3158,Летные  проверки и системы,Доминика
Qe-3130,РКП «АК «Тува Авиа»,Иордания
SL-6853,Восток,Израиль
NV-1007,СЕВЕРСТАЛЬ АП ООО,Гуам
MQ-9427,Балтийские авиалинии,Киргизия
WY-3478,АТРАН,Багамы
eT-6392,Ижавиа ОАО,Багамы
BP-8971,РусЛайн,Ирак
MR-3883,Аэросервис (Даг.),Греция
OB-7461,МЧС России ФГУАП,Гондурас
HW-1740,Конверс Авиа,Аруба
XL-1703,АТРАН,Кокосовые (Килинг) острова
RO-7418,Аэрофлот ПАО,Иордания
JG-6323,Аэролимузин,Буркина-Фасо
eD-3600,Костромское АП ОАО,Ирландия
YF-4440,Нижневартовскавиа,Армения
LP-5266,ДОНАВИА,Бермуды
SG-4639,Ельцовка АП ЗАО,Бангладеш
ZS-6749,Икар ООО,Гватемала
TN-8296,Джет Эйр Групп,Коста-Рика
MT-1363,Амур,Германия
CB-2036,Авиашельф,Гвинея
RU-5113,Ангара АК ЗАО,Гайана
LK-3752,КрасАвиа,Кения
ZG-3161,СИМАРГЛ,Китай
JC-7569,ПАНХ НПК ОАО,Бермуды
WJ-2528,КрасАвиа,Босния и Герцеговина
IB-3882,Нарьян-Марский ОАО,Доминика
RD-4796,Псковавиа,Корея, Народно-Демократическая Республика
VY-4528,МАЦ,Гамбия
CW-3146,Нарьян-Марский ОАО,Аргентина
AH-3445,Меридиан,Армения
eA-3389,СЕВЕРСТАЛЬ АП ООО,Доминика
LO-1769,Авиастар-ТУ,Ботсвана
CZ-5634,СЕВЕРСТАЛЬ АП ООО,Гватемала
KQ-5594,ВОЛГА-ДНЕПР,Британская территория в Индийском океане
FO-2458,Саратовские авиалинии,Гаити
WF-6920,Авиа Менеджмент Груп,Гибралтар
HO-5400,АТРАН,Габон
ON-7353,Амурская авиабаза,Камерун
MH-5911,ЛУКОЙЛ-АВИА ООО,Аруба
NK-7528,Россия СЛО,Коста-Рика
BC-1598,КрасАвиа,Колумбия
CW-6070,Костромское АП ОАО,Азербайджан
DH-2111,Ай Флай,Бурунди
SU-8129,БАРКОЛ,Иордания
BA-5404,РусДжет,Буркина-Фасо
FH-2356,Сибирь,Гана
YB-2924,Аэросервис (Чита),Кирибати
JZ-8665,Комиавиатранс ОАО,Абхазия
RD-4691,Универсал-Авиа ГУП РК,Гернси
GY-5814,Сибирь,Гайана
SR-9904,Авиакомпания «Лайт Эйр»,Зимбабве
JN-7965,Летные  проверки и системы,Иордания
PA-2028,ПАНХ АК ООО (Улан-Удэ),Испания
eW-5421,РОЯЛ ФЛАЙТ,Антарктида
GO-6111,Ижавиа ОАО,Доминика
MP-5452,Абакан Эир,Гренландия
QV-6689,Грозный Авиа ПАО,Конго, Демократическая Республика
RB-3149,Вологодское АП,Грузия
ZS-8172,Амур,Бонайре, Саба и Синт-Эстатиус
XS-6864,Тулпар Эйр,Ирак
IU-6179,Меридиан,Гуам
GQ-7364,Северный Ветер,Алжир
XB-8019,Петрозаводск Аэропорт,Иран, Исламская Республика
BB-4521,Нордавиа-регион.АЛ,Ирландия
WH-8166,СиЛА,Британская территория в Индийском океане
JA-7572,Оренбургские АЛ АО,Бангладеш
KM-1662,Конверс Авиа,Бонайре, Саба и Синт-Эстатиус
SP-2312,Северо-Запад,Камерун
XM-1971,Дельта К,Аргентина
VQ-8521,Икар ООО,Колумбия
FK-9983,Авиакомпания СОКОЛ,Ирак
IK-8492,ВОЛГА-ДНЕПР,Египет
BV-5188,Казанское авиапредприятие,Кипр
TP-9963,РусЛайн,Ирландия
YL-5365,Полярные авиалинии АО,Грузия
FA-9747,Авиастар-ТУ,Венесуэла Боливарианская Республика
MV-8049,Авиа Менеджмент Груп,Кабо-Верде
PK-3638,СИМАРГЛ,Бельгия
TW-2701,Россия СЛО,Афганистан
WN-6263,Камчатское АП ОАО,Бенин
LR-1853,Дельта К,Гондурас
WW-6488,СиЛА,Корея, Народно-Демократическая Республика
OV-9787,Уктус,Гибралтар
AF-8306,Арго,Киргизия
eN-8109,Авиалифт Владивосток,Антарктида
AC-4334,Комиавиатранс ОАО,Иордания
UF-9382,Аврора,Конго, Демократическая Республика
JX-4791,СИМАРГЛ,Гернси
ZW-4874,Летные  проверки и системы,Индия
CG-4549,Авиакомпания СОКОЛ,Гибралтар
MZ-6444,АТРАН,Австралия
DA-3945,Арго,Кения
JS-5931,АТРАН,Гибралтар
SZ-9017,Икар ООО,Катар
HA-9682,Уральские авиалинии,name
NQ-7703,Авиашельф,Босния и Герцеговина
YH-9411,Псковавиа,Буркина-Фасо
ZR-4288,Победа,Камерун
WW-8047,Костромское АП ОАО,Абхазия
RL-5814,Авиакомпания СОКОЛ,Вьетнам
KK-7022,Ай Флай,Гвинея
VR-1668,Амурская авиабаза,Бурунди
NV-3894,Дальнереченск Авиа,Катар
CB-7337,Дельта К,Бангладеш
LR-4886,Аэросервис (Даг.),Гренада
RO-5912,МАЦ,Кокосовые (Килинг) острова
FX-9508,Камчатское АП ОАО,Албания
HL-7118,СиЛА,Кипр
PT-2740,Геликс,Ботсвана
QG-5821,АЛРОСА Авиакомпания АО,Виргинские острова, США
AL-8945,Ижавиа ОАО,Кабо-Верде
DW-8256,Петрозаводск Аэропорт,Доминиканская Республика
AT-9104,ВОЛГА-ДНЕПР,Дания
WC-1529,Россия Авиакомпания АО,Алжир
DR-9988,Псковавиа,Исландия
OS-6199,Уктус,Конго, Демократическая Республика
MR-4830,РКП «АК «Тува Авиа»,Британская территория в Индийском океане
DM-1577,СКОЛ,Китай
OY-1924,ТУРУХАН,Ботсвана
SJ-1439,Авиасервис (Казань) (ИНН 1624446694),Бермуды
He-5497,Костромское АП ОАО,Кения
XK-7851,ВЗЛЕТ НПО, ЗАО,Бангладеш
YR-1491,Грозный Авиа ПАО,Гамбия
DS-5388,Арт Авиа,Испания
CX-9461,Аврора,Барбадос
AJ-9035,Камчатское АП ОАО,Испания
OU-4204,Нордавиа-регион.АЛ,Виргинские острова, Британские
CM-6319,Авиастар-ТУ,Конго
MB-1793,Ельцовка АП ЗАО,Кипр
TX-5697,Грозный Авиа ПАО,Иордания
HO-5822,РусДжет,Босния и Герцеговина
PZ-4924,Нарьян-Марский ОАО,Виргинские острова, Британские
TY-1345,ИрАэро АК АО,Канада
TF-6360,Казанское авиапредприятие,Джерси
FC-6451,Нордавиа-регион.АЛ,name
XX-3642,СиЛА,Босния и Герцеговина
HS-5382,Авиа Менеджмент Груп,Бельгия
TY-9028,ИрАэро АК АО,Алжир
WH-6501,Авиакомпания «Лайт Эйр»,Антарктида
MV-1145,Глобус,Индия
ZH-9691,Авиашельф,Джибути
KI-8068,АРКТИКА,Алжир
YO-1181,Авиасервис (Казань) (ИНН 1624446694),Киргизия
HA-2785,МАЦ,Гернси
QM-4283,Авиашельф,Бангладеш
DO-5537,Арго,Афганистан
XU-5309,ЛУКОЙЛ-АВИА ООО,Бонайре, Саба и Синт-Эстатиус
RX-6583,Саратовские авиалинии,name
AR-3836,Авиакомпания СОКОЛ,Гренландия
WP-9328,Уральские авиалинии,Гана
KN-4096,СЕВЕРСТАЛЬ АП ООО,Абхазия
PI-2295,ЛУКОЙЛ-АВИА ООО,Ангола
eD-6101,Авиакомпания СОКОЛ,Бахрейн
XQ-9695,МЧС России ФГУАП,Болгария
BL-4751,Саратовские авиалинии,Австрия
NT-4155,МЧС России ФГУАП,Виргинские острова, Британские
SD-4268,Нарьян-Марский ОАО,Гуам
LB-9002,Когалымавиа ООО,Конго
De-3376,Восток,Антарктида
UD-9681,ВЗЛЕТ НПО, ЗАО,Дания
DZ-6019,Петрозаводск Аэропорт,Джерси
YW-5925,БАРКОЛ,Йемен
ZP-5749,МАЦ,Вануату
SC-6449,Тулпар Эйр,Бразилия
TM-3058,Дальнереченск Авиа,Вануату
LJ-6915,РКП «АК «Тува Авиа»,Гана
CP-5600,Ижавиа ОАО,Доминика
KX-3878,БАРКОЛ,Кения
BM-6577,Таймыр ОАО,Бермуды
MF-5689,Когалымавиа ООО,Британская территория в Индийском океане
XK-9599,Глобус,Азербайджан
HB-8049,Конверс Авиа,Кипр
IT-8734,Абакан Эир,Гватемала
VV-8348,АЛРОСА Авиакомпания АО,Гибралтар
PM-3900,Универсал-Авиа ГУП РК,Канада
AT-6150,ТУРУХАН,Грузия
NQ-9167,Россия Авиакомпания АО,Камбоджа
Be-2428,Грозный Авиа ПАО,Кипр
JO-5607,Джет Эйр Групп,Киргизия
LX-3246,Полярные авиалинии АО,Кения
FK-8721,Амурская авиабаза,Ангола
JU-5278,СИРИУС-АЭРО,Западная Сахара
NI-1810,СиЛА,Кения
BV-6698,СиЛА,Джибути
QF-2961,БАРКОЛ,Коморы
UR-1864,Оренбургские АЛ АО,Антарктида
FS-9867,Ельцовка АП ЗАО,Австрия
SU-8369,ПАНХ НПК ОАО,Американское Самоа
OO-4935,СЕВЕРСТАЛЬ АП ООО,Конго
BB-3031,РОЯЛ ФЛАЙТ,Гонконг
RU-5317,Псковавиа,Грузия
FZ-5936,Газпром авиа ООО,Беларусь
AW-7758,Уральские авиалинии,Гренада
PN-6877,Меридиан,Британская территория в Индийском океане
JP-1608,Бурал,Гамбия
JP-9642,АЛРОСА Авиакомпания АО,Албания
KF-8139,Космос,Боливия, Многонациональное Государство
TX-8653,Икар ООО,Иордания
SL-9175,Дальнереченск Авиа,Британская территория в Индийском океане
RM-8400,Амурская авиабаза,Бурунди
RV-5920,РусЛайн,Кабо-Верде
XV-4453,Универсал-Авиа ГУП РК,Бенин
RS-5684,Когалымавиа ООО,Доминиканская Республика
FJ-1965,Роствертол-Авиа, ЗАО,Гибралтар
ZF-3378,Авиакон Цитотранс,Албания
RK-1870,Дальнереченск Авиа,Гуам
NT-6543,Икар ООО,Виргинские острова, США
GS-8577,Нордавиа-регион.АЛ,Доминика
OO-8530,Универсал-Авиа ГУП РК,Бахрейн
DP-1744,РусЛайн,Виргинские острова, Британские
AS-1365,Тулпар Эйр,Андорра
LC-9925,Вологодское АП,Гвинея-Бисау
De-9847,Камчатское АП ОАО,Киргизия
ZD-6921,СИБИА,Камерун
HU-6902,Газпром авиа ООО,Гренландия
QY-7234,АэроБратск,Гваделупа
OC-4665,Таймыр ОАО,Афганистан
MI-3233,Камчатское АП ОАО,Беларусь
eR-8357,ВИМ-АВИА,Гваделупа
SI-9543,Сибирь,Исландия
GN-6127,Нижневартовскавиа,Андорра
OR-4720,ВИТЯЗЬ-АЭРО АК ООО,Бенин
PN-7609,ИрАэро АК АО,Камерун
YP-7902,Авиа Менеджмент Груп,Британская территория в Индийском океане
QS-6996,Дальнереченск Авиа,Буркина-Фасо
MQ-8819,Тулпар Эйр,Египет
IT-7267,Аврора,Антигуа и Барбуда
ZX-1397,Казанское авиапредприятие,Китай
DD-9536,Аэролимузин,Армения
DN-5818,СиЛА,Гуам
OU-1658,ТУРУХАН,Китай
ZI-8531,Летные  проверки и системы,Конго
HK-4383,РУССЭЙР,Гуам
eL-3938,Россия СЛО,Бахрейн
LX-7760,Вологодское АП,Казахстан
VQ-7557,ПАНХ НПК ОАО,Доминика
ST-8844,Аврора,Бутан
IK-9274,АРКТИКА,Антарктида
CG-5597,Петрозаводск Аэропорт,Корея, Республика
SO-1611,СЕВЕРСТАЛЬ АП ООО,Камбоджа
DQ-8371,Амур,Гернси
XO-2605,АэроГео,Гренада
UD-3325,ВЗЛЕТ НПО, ЗАО,Бонайре, Саба и Синт-Эстатиус
FX-6561,Аэролимузин,Антигуа и Барбуда
CW-9500,СКОЛ,Коморы
YP-5666,Меридиан,Виргинские острова, США
RW-2653,Геликс,Гана
RS-5331,АЭРОКУЗБАСС,Катар
MZ-6008,Когалымавиа ООО,Израиль
JX-1236,Икар ООО,Доминиканская Республика
HV-5838,Россия Авиакомпания АО,Италия
AO-2388,РусЛайн,Конго
VP-8215,Нижневартовскавиа,Индонезия
WN-7611,Геликс,Австралия
UD-9834,Северо-Запад,Барбадос
RU-7667,РКП «АК «Тува Авиа»,Бельгия
BU-7933,Аэрофлот ПАО,Гондурас
HF-3734,РусЛайн,Андорра
FO-5891,БАРКОЛ,Канада
XR-8074,Газпром авиа ООО,Бахрейн
OJ-6545,МЧС России ФГУАП,Бермуды
XP-5503,Петрозаводск Аэропорт,Андорра
XV-8890,Ельцовка АП ЗАО,Боливия, Многонациональное Государство
eI-6775,Россия Авиакомпания АО,Исландия
YB-1753,Россия СЛО,Колумбия
IR-8284,Глобус,Ирак
GG-9334,Летные  проверки и системы,Азербайджан
MP-5381,МАЦ,Грузия
MG-4167,Роствертол-Авиа, ЗАО,Гвинея-Бисау
KK-6002,Вологодское АП,Германия
GD-8258,Конверс Авиа,Гибралтар
WL-6566,Восток,Катар
PJ-5075,Летные  проверки и системы,Бенин
RL-2022,РОЯЛ ФЛАЙТ,Боливия, Многонациональное Государство
XG-9665,Полярные авиалинии АО,Гонконг
GR-2078,Ельцовка АП ЗАО,Джибути
MR-6808,ПАНХ НПК ОАО,Багамы
OD-1669,Аэросервис (Даг.),Боливия, Многонациональное Государство
JG-8164,Грозный Авиа ПАО,Антигуа и Барбуда
LQ-5322,ИрАэро АК АО,Абхазия
NB-5014,Вертикаль-Т ООО,Боливия, Многонациональное Государство
HK-5311,Нижневартовскавиа,Индонезия
NJ-1865,ВИТЯЗЬ-АЭРО АК ООО,Виргинские острова, Британские
ST-7428,Амурская авиабаза,Коста-Рика
WM-5722,Саратовские авиалинии,Исландия
eW-2287,Авиашельф,Конго, Демократическая Республика
ZT-5927,ПАНХ АК ООО (Улан-Удэ),Германия
BG-6802,Меридиан,Вануату
OT-9156,Петрозаводск Аэропорт,Зимбабве
GH-9375,РКП «АК «Тува Авиа»,Ангола
JZ-2872,Ай Флай,Бутан
PW-6555,СИМАРГЛ,Бангладеш
UU-2792,Авиашельф,Гана
RU-4954,Ельцовка АП ЗАО,Аруба
QL-4771,Авиакомпания СОКОЛ,Кокосовые (Килинг) острова
FN-5515,Северо-Запад,Колумбия
RY-3921,Геликс,Гибралтар
SO-9863,Дельта К,Киргизия
XR-6511,ВОЛГА-ДНЕПР,Камерун
HB-9233,Авиастар-ТУ,Виргинские острова, США
JJ-9532,АРКТИКА,Венесуэла Боливарианская Республика
DH-1476,ВЗЛЕТ НПО, ЗАО,Кирибати
QH-1911,Нижневартовскавиа,Бермуды
LU-5778,Летные  проверки и системы,Гернси
IY-3815,Авиалифт Владивосток,Гренландия
JW-1307,РКП «АК «Тува Авиа»,Боливия, Многонациональное Государство
RS-5573,АЭРОКУЗБАСС,Кения
KC-9256,Уральские авиалинии,Британская территория в Индийском океане
JQ-9048,Космос,Италия
DR-7925,Комиавиатранс ОАО,Ирак
KY-1130,Таймыр ОАО,Западная Сахара
RP-7393,АЛРОСА Авиакомпания АО,Канада
XC-8457,Бурал,Катар
BL-2413,АэроГео,Китай
VN-1014,Бурал,Камбоджа
QZ-2948,Космос,Багамы
JH-6661,ВОЛГА-ДНЕПР,Беларусь
YJ-6174,РусЛайн,Коста-Рика
BM-4448,Восток,Кокосовые (Килинг) острова
YL-3815,Джет Эйр Групп,Гвинея
WY-6741,РусЛайн,Ирландия
PK-8845,Полярные авиалинии АО,Гайана
KW-2537,Авиакомпания «Лайт Эйр»,Гондурас
FT-9038,ПАНХ АК ООО (Улан-Удэ),Алжир
LK-6138,Роствертол-Авиа, ЗАО,Гибралтар
US-7558,СИМАРГЛ,Коморы
MR-1447,Вологодское АП,Австрия
UI-8369,Таймыр ОАО,Бурунди
XC-6343,Роствертол-Авиа, ЗАО,Ангилья
FD-7921,Ижавиа ОАО,Бурунди
LS-9065,Космос,Джибути
NS-9301,Авиашельф,Барбадос
WD-7105,Северо-Запад,Босния и Герцеговина
QH-6103,Россия СЛО,Гуам
CY-8199,Меридиан,Грузия
DK-5255,СИМАРГЛ,Греция
CY-4223,Псковавиа,Зимбабве
CI-4180,Алтайские Авиалинии,Корея, Народно-Демократическая Республика
KM-7642,СиЛА,Боливия, Многонациональное Государство
KM-3859,Геликс,Американское Самоа
QV-3004,Нордавиа-регион.АЛ,Исландия
BP-8080,Авиакомпания «Лайт Эйр»,Абхазия
VR-5532,Джет Эйр Групп,Кирибати
GS-8089,Ижавиа ОАО,Виргинские острова, Британские
VY-8447,КрасАвиа,Ботсвана
DL-2823,Сибирь,Гаити
CF-8193,Геликс,Италия
eC-8751,Икар ООО,Гренландия
SL-2944,Авиашельф,Джерси
UI-9168,Авиакон Цитотранс,Абхазия
FF-8897,КрасАвиа,Гибралтар
CH-2253,Авиакомпания «Лайт Эйр»,Коста-Рика
ZS-9340,МАЦ,Конго, Демократическая Республика
ZQ-2334,Ангара АК ЗАО,Габон
JF-4851,Восток,Барбадос
VQ-7023,РКП «АК «Тува Авиа»,Гондурас
DT-7224,Оренбургские АЛ АО,Гватемала
QG-7232,РусДжет,Исландия
QZ-6584,Авиакон Цитотранс,Беларусь
ZN-4233,Аврора,Армения
CR-9291,Ангара АК ЗАО,Бутан
YJ-4486,Полярные авиалинии АО,Бенин
QV-6838,ВИТЯЗЬ-АЭРО АК ООО,Белиз
HL-5541,Авиа Менеджмент Груп,Антигуа и Барбуда
QG-5933,РусДжет,Бразилия
ZT-3780,Комиавиатранс ОАО,Ирак
NP-6767,МЧС России ФГУАП,Гвинея
XD-7182,Комиавиатранс ОАО,Камерун
FS-1946,Нарьян-Марский ОАО,Ангилья
NG-2775,СИМАРГЛ,Барбадос
YN-7434,Авиастар-ТУ,Западная Сахара
XT-8012,Конверс Авиа,Западная Сахара
eT-2876,Универсал-Авиа ГУП РК,Ирландия
KT-9021,Победа,Коморы
UN-6225,АэроГео,Вьетнам
BN-9820,Абакан Эир,Джибути
UH-8255,Глобус,Антарктида
JY-6518,Северный Ветер,name
TB-6927,МЧС России ФГУАП,Гондурас
eQ-1145,Авиалифт Владивосток,Виргинские острова, Британские
CK-6322,Уральские авиалинии,Иордания
LH-4339,Россия Авиакомпания АО,Венгрия
CC-1713,Глобус,Гондурас
IA-7828,Когалымавиа ООО,Колумбия
RZ-3869,Балтийские авиалинии,Беларусь
IH-9425,Алтайские Авиалинии,Беларусь
MI-2056,Летные  проверки и системы,Бразилия
ND-6204,СКОЛ,Гибралтар
JO-6548,Уральские авиалинии,Буркина-Фасо
IY-4418,АЗУР эйр,Афганистан
FT-1857,Авиалифт Владивосток,Алжир
PS-3863,Камчатское АП ОАО,Индонезия
LR-7374,Сибирь,Ангилья
JW-4385,ДОНАВИА,Аруба
WL-8941,Космос,Испания
eL-1116,Джет Эйр Групп,Гайана
eQ-3487,Ельцовка АП ЗАО,Беларусь
Ve-9313,Роствертол-Авиа, ЗАО,Австралия
PN-6048,Ред Вингс АО,Бутан
NM-8253,Нарьян-Марский ОАО,Виргинские острова, США
ZG-9479,Амурская авиабаза,Кабо-Верде
IL-8514,Вологодское АП,Бутан
VY-9320,АРКТИКА,Американское Самоа
OB-2929,ВИМ-АВИА,Гана
Ve-7754,Геликс,Гана
eI-4286,Нижневартовскавиа,Корея, Народно-Демократическая Республика
RM-9922,СЕВЕРСТАЛЬ АП ООО,Италия
CP-1950,МАЦ,Кипр
MA-5288,Меридиан,Зимбабве
IL-7874,АТРАН,Ирландия
DJ-9480,СИРИУС-АЭРО,Бонайре, Саба и Синт-Эстатиус
MH-3757,Глобус,Венесуэла Боливарианская Республика
NU-5647,Петрозаводск Аэропорт,Американское Самоа
DF-6595,Авиашельф,Конго, Демократическая Республика
IK-7803,Ред Вингс АО,Абхазия
HV-8434,Грозный Авиа ПАО,Гвинея
NT-3911,Аврора,Гибралтар
eO-7721,Нарьян-Марский ОАО,Греция
DK-8623,СиЛА,Вануату
TO-7691,Нарьян-Марский ОАО,Бонайре, Саба и Синт-Эстатиус
XY-8206,ДОНАВИА,Замбия
KJ-2018,Авиа Менеджмент Груп,Ботсвана
JN-6582,РусДжет,Албания
WS-1877,Аэросервис (Даг.),Венгрия
FU-8106,Тулпар Эйр,Антигуа и Барбуда
PL-2288,СКОЛ,Буркина-Фасо
QD-8739,АЭРОКУЗБАСС,Виргинские острова, США
HY-7178,Петрозаводск Аэропорт,Антигуа и Барбуда
BX-1669,Вертикаль-Т ООО,Гонконг
JQ-1932,Россия СЛО,Конго
YD-8242,Ангара АК ЗАО,Австралия
CB-2091,Полярные авиалинии АО,Гватемала
YG-8212,Норильск Авиа,Вьетнам
BU-4968,Тулпар Эйр,Гибралтар
HZ-1400,Победа,Барбадос
FL-5229,Северо-Запад,Западная Сахара
MY-8584,РКП «АК «Тува Авиа»,Аргентина
JJ-3781,ИрАэро АК АО,Гонконг
AU-5386,Аэрофлот ПАО,Аруба
PD-4447,Абакан Эир,Италия
OA-9385,МЧС России ФГУАП,Колумбия
KO-7997,РОЯЛ ФЛАЙТ,Виргинские острова, США
WO-6660,АЭРОКУЗБАСС,Ирак
WO-4520,РОЯЛ ФЛАЙТ,Ирландия
UM-2099,ВЕКТОР АПК ООО,Болгария
UV-7178,Уральские авиалинии,Буркина-Фасо
CG-4534,ВИТЯЗЬ-АЭРО АК ООО,Бруней-Даруссалам
SZ-8549,Геликс,Бразилия
LP-5519,РусДжет,Коста-Рика
AO-1712,Джет Эйр Групп,Азербайджан
AN-1910,Нарьян-Марский ОАО,Джерси
LS-2459,АэроБратск,Дания
WB-7828,Алтайские Авиалинии,Венесуэла Боливарианская Республика
TY-7035,Северо-Запад,Индонезия
OY-5189,КрасАвиа,Бермуды
WD-1017,РусДжет,Аруба
DT-8829,Космос,Зимбабве
YB-6207,ВЗЛЕТ НПО, ЗАО,Бахрейн
FN-6826,СИРИУС-АЭРО,Бразилия
OZ-3125,ПАНХ АК ООО (Улан-Удэ),Исландия
CY-5827,Россия Авиакомпания АО,Джерси
QV-6753,Вертикаль-Т ООО,Бутан
KW-7322,РусДжет,Германия
FL-4039,Аврора,Испания
eJ-5672,СЕВЕРСТАЛЬ АП ООО,Китай
SM-2685,Авиасервис (Казань) (ИНН 1624446694),Ботсвана
BJ-2728,Грозный Авиа ПАО,Гвинея
HU-4261,МЧС России ФГУАП,Болгария
GN-6306,Полярные авиалинии АО,Джерси
OJ-4351,Универсал-Авиа ГУП РК,Израиль
JT-8932,Алтайские Авиалинии,Бельгия
VF-8399,Таймыр ОАО,Аргентина
GY-7716,Арт Авиа,Кокосовые (Килинг) острова
eF-6157,Петрозаводск Аэропорт,Вануату
DG-5525,Норильск Авиа,Кипр
KO-4231,Аэрофлот ПАО,Катар
QX-5268,Россия СЛО,Катар
KW-7697,ПАНХ АК ООО (Улан-Удэ),Бермуды
JI-5685,Авиалифт Владивосток,Кокосовые (Килинг) острова
GD-2960,Саратовские авиалинии,Болгария
eT-8627,ВЕКТОР АПК ООО,Корея, Народно-Демократическая Республика
YR-2105,ВИТЯЗЬ-АЭРО АК ООО,Канада
ZQ-1971,Аэрофлот ПАО,Британская территория в Индийском океане
BY-5786,Казанское авиапредприятие,Корея, Народно-Демократическая Республика
IV-7064,АРКТИКА,Виргинские острова, США
RD-4164,Костромское АП ОАО,Западная Сахара
VP-5344,Оренбургские АЛ АО,Зимбабве
AA-4977,Авиакомпания СОКОЛ,Гвинея-Бисау
LI-7189,Аэросервис (Даг.),Камбоджа
ZU-4085,Авиашельф,Киргизия
YJ-7055,Летные  проверки и системы,Вьетнам
PQ-7796,Вологодское АП,Гайана
QQ-6940,РУССЭЙР,Багамы
BS-6804,Авиакомпания «Лайт Эйр»,Италия
XL-2855,МАЦ,Ангилья
FI-4594,Норильск Авиа,Корея, Республика
CC-4351,Комиавиатранс ОАО,Андорра
BQ-4794,Таймыр ОАО,Корея, Народно-Демократическая Республика
PG-6412,Нижневартовскавиа,Албания
BD-4975,РусЛайн,Австралия
JI-2256,РусДжет,Габон
NM-1957,Псковавиа,Исландия
XG-7285,Ижавиа ОАО,Исландия
AY-3606,Авиалифт Владивосток,Антигуа и Барбуда
eG-6077,ТУРУХАН,Зимбабве
PP-9204,Меридиан,Киргизия
NS-3260,ИрАэро АК АО,Колумбия
CL-5086,Восток,Гамбия
KY-5454,БАРКОЛ,Гренада
AC-9782,Вологодское АП,Джерси
BK-3990,Абакан Эир,Испания
TG-6375,Меридиан,Гибралтар
XT-7852,Полярные авиалинии АО,Гренада
JO-3077,Авиалифт Владивосток,Бутан
BI-8287,ВИТЯЗЬ-АЭРО АК ООО,Иран, Исламская Республика
eF-8482,ЛУКОЙЛ-АВИА ООО,Антарктида
KX-3498,МЧС России ФГУАП,Кирибати
NV-6226,Балтийские авиалинии,Абхазия
HY-5934,Уктус,Йемен
YV-2015,Аэрофлот ПАО,Грузия
YV-8179,Нарьян-Марский ОАО,Катар
NT-5642,Авиакон Цитотранс,Американское Самоа
FX-8633,Вологодское АП,Ботсвана
QL-6214,Северный Ветер,Китай
HK-2872,Летные  проверки и системы,Казахстан
UQ-6016,МАЦ,Гайана
DU-1010,Северо-Запад,Казахстан
PZ-1750,МАЦ,Коста-Рика
HC-2365,АЭРОКУЗБАСС,Йемен
VU-9192,Вологодское АП,Кокосовые (Килинг) острова
TO-3961,Уктус,Ирландия
AI-7869,Меридиан,Аруба
PK-2230,ПАНХ НПК ОАО,Босния и Герцеговина
XN-8428,АэроБратск,Венгрия
UG-4626,Псковавиа,Китай
XX-8050,Авиашельф,Бутан
WZ-5812,Казанское авиапредприятие,Ангилья
GP-2006,Вологодское АП,Израиль
RM-3046,Аэрофлот ПАО,Венесуэла Боливарианская Республика
VW-5271,Псковавиа,Бермуды
eO-3122,Ельцовка АП ЗАО,Андорра
SV-9748,Вертикаль-Т ООО,Дания
HF-6569,Арго,Болгария
OD-7813,АТРАН,Гватемала
LY-2623,ЛУКОЙЛ-АВИА ООО,Конго
DI-6196,Оренбургские АЛ АО,Бангладеш
NV-2974,Аэросервис (Даг.),Азербайджан
JG-2383,Аэролимузин,Виргинские острова, Британские
VU-2966,Авиалифт Владивосток,Коморы
JX-9556,Аэросервис (Чита),Джибути
IP-5997,ВИМ-АВИА,Афганистан
SA-7287,ДОНАВИА,Индия
VV-4664,Космос,Конго
eI-3080,АЛРОСА Авиакомпания АО,Венгрия
PP-6056,ТУРУХАН,Греция
OH-2850,СИБИА,Коморы
UV-5348,ТУРУХАН,Бермуды
IO-7673,Нордавиа-регион.АЛ,Белиз
YT-7370,МЧС России ФГУАП,Афганистан
HO-3273,Аэросервис (Даг.),Бонайре, Саба и Синт-Эстатиус
DL-2495,Саратовские авиалинии,Йемен
WA-8224,Амурская авиабаза,Бутан
IH-2379,СИМАРГЛ,Британская территория в Индийском океане
